Country Code,Short Name,Table Name,Long Name,Currency Unit,Region,National accounts base year,System of National Accounts
DNK,Denmark,Denmark,Kingdom of Denmark,Danish krone,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
DOM,Dominican Republic,Dominican Republic,Dominican Republic,Dominican peso,Latin America & Caribbean,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
DZA,Algeria,Algeria,People's Democratic Republic of Algeria,Algerian dinar,Middle East & North Africa,Original chained constant price data are rescaled.,Country uses the 1993 System of National Accounts methodology
ECU,Ecuador,Ecuador,Republic of Ecuador,U.S. dollar,Latin America & Caribbean,2007,Country uses the 2008 System of National Accounts methodology
EGY,Egypt,"Egypt, Arab Rep.",Arab Republic of Egypt,Egyptian pound,Middle East & North Africa,2016/17,Country uses the 1993 System of National Accounts methodology
ERI,Eritrea,Eritrea,State of Eritrea,Eritrean nakfa,Sub-Saharan Africa,2011,Country uses the 1968 System of National Accounts methodology
ESP,Spain,Spain,Kingdom of Spain,Euro,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
EST,Estonia,Estonia,Republic of Estonia,Euro,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
ETH,Ethiopia,Ethiopia,Federal Democratic Republic of Ethiopia,Ethiopian birr,Sub-Saharan Africa,2015/2016,Country uses the 1993 System of National Accounts methodology
FIN,Finland,Finland,Republic of Finland,Euro,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
FJI,Fiji,Fiji,Republic of Fiji,Fijian dollar,East Asia & Pacific,2014,Country uses the 2008 System of National Accounts methodology
FRA,France,France,French Republic,Euro,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
FSM,Micronesia,"Micronesia, Fed. Sts.",Federated States of Micronesia,U.S. dollar,East Asia & Pacific,2003/04,Country uses the 1993 System of National Accounts methodology
GAB,Gabon,Gabon,Gabonese Republic,Central African CFA franc,Sub-Saharan Africa,2001,Country uses the 1993 System of National Accounts methodology
